time,ax,ay,az,gx,gy,gz
206871,0.02,0.72,-0.03,33.08,199.78,163.45
206883,-0.1,0.69,0.02,30.4,187.28,159.98
206895,-0.27,0.75,0.04,31.25,158.56,146.81
206907,-0.37,0.86,0.04,27.47,121.97,135.89
206931,-0.5,0.93,-0.03,5.95,55.69,117.78
206943,-0.58,0.86,-0.06,-3.75,17.22,104.06
206955,-0.55,0.81,-0.08,-4.66,-26.74,86.81
206967,-0.47,0.82,-0.13,-3.01,-66.5,68.15
206979,-0.34,0.9,-0.17,-4.54,-93.21,51.01
206991,-0.26,1.0,-0.17,-13.5,-107.29,35.28
207003,-0.21,1.06,-0.18,-25.64,-113.15,19.12
207015,-0.18,1.07,-0.2,-36.31,-113.7,5.59
207027,-0.14,1.05,-0.18,-42.34,-113.33,-26.06
207039,-0.17,1.25,-0.14,-21.18,-103.51,-44.35
207051,-0.27,1.68,-0.2,-4.17,-101.56,-77.22
207063,-0.28,2.11,-0.32,-23.68,-104.49,-104.48
207075,-0.08,2.1,-0.43,-63.68,-102.23,-113.26
207087,0.22,1.68,-0.32,-83.07,-91.93,-130.27
207099,0.39,1.32,-0.14,-61.67,-80.83,-168.74
207111,0.33,1.34,-0.01,-35.88,-70.16,-190.63
207123,0.22,1.48,0.14,-20.64,-64.55,-196.73
207135,0.17,1.56,0.14,-16.18,-58.63,-185.39
207147,0.18,1.52,0.04,-20.76,-45.59,-164.78
207310,0.46,0.66,-0.12,-11.61,-111.99,-62.16
207322,0.45,0.78,-0.13,-7.89,-113.76,-65.33
207334,0.52,0.9,-0.16,-5.09,-122.9,-65.45
207346,0.58,1.0,-0.18,-6.37,-129.12,-64.84
207370,0.82,1.06,-0.17,-19.42,-115.16,-58.01
207382,0.9,1.02,-0.14,-22.53,-96.44,-51.79
207395,0.9,1.0,-0.12,-17.59,-76.44,-43.93
207406,0.87,1.05,-0.13,-10.39,-58.51,-30.82
207418,0.8,1.08,-0.15,-6.98,-44.18,-14.96
207430,0.73,1.08,-0.16,-0.03,-35.83,-0.33
207442,0.67,1.14,-0.21,15.52,-34.37,8.45
207454,0.64,1.36,-0.28,36.38,-37.96,9.61
207466,0.64,1.75,-0.38,54.85,-40.71,6.2
207478,0.71,2.09,-0.44,50.64,-32.72,11.99
207490,0.79,2.06,-0.47,32.41,-12.66,23.09
207502,0.85,1.78,-0.42,25.77,12.89,29.37
207514,0.76,1.59,-0.38,27.35,35.21,33.45
207526,0.61,1.5,-0.34,27.35,53.32,46.26
207538,0.51,1.42,-0.3,36.38,68.99,64.55
207550,0.45,1.39,-0.27,48.21,82.77,80.89
207562,0.44,1.34,-0.26,56.5,96.67,92.29
